"Package","Version","Built"
"boot","1.3-32","R 4.5.2; ; 'Thu, 04 Sep 2025 19:44:38 +0000'; unix"
"class","7.3-24","R 4.6.1; aarch64-unknown-linux-gnu; 'Tue, 04 Aug 2026 19:26:36 +0000'; unix"
"cluster","2.1.8.3","R 4.6.1; aarch64-unknown-linux-gnu; 'Fri, 31 Jul 2026 13:24:17 +0000'; unix"
"codetools","0.2-20","R 4.4.0; ; 'Sat, 27 Apr 2024 18:01:06 +0000'; unix"
"compiler","4.6.1","R 4.6.1; ; 2026-08-23 18:01:00 UTC; unix"
"datasets","4.6.1","R 4.6.1; ; 2026-08-23 18:01:00 UTC; unix"
"foreign","0.8-91","R 4.5.2; aarch64-unknown-linux-gnu; 'Sun, 08 Feb 2026 00:13:22 +0000'; unix"
"graphics","4.6.1","R 4.6.1; aarch64-unknown-linux-gnu; 2026-08-23 18:01:00 UTC; unix"
"grDevices","4.6.1","R 4.6.1; aarch64-unknown-linux-gnu; 2026-08-23 18:01:00 UTC; unix"
"grid","4.6.1","R 4.6.1; aarch64-unknown-linux-gnu; 2026-08-23 18:01:00 UTC; unix"
"KernSmooth","2.23-27","R 4.6.1; aarch64-unknown-linux-gnu; 'Mon, 17 Aug 2026 01:55:45 +0000'; unix"
"lattice","0.23-1","R 4.6.1; aarch64-unknown-linux-gnu; 'Mon, 17 Aug 2026 01:55:56 +0000'; unix"
"MASS","7.3-66","R 4.6.1; aarch64-unknown-linux-gnu; 'Fri, 17 Jul 2026 13:21:58 +0000'; unix"
"Matrix","1.7-6","R 4.6.1; aarch64-unknown-linux-gnu; 'Tue, 28 Jul 2026 14:22:22 +0000'; unix"
"methods","4.6.1","R 4.6.1; aarch64-unknown-linux-gnu; 2026-08-23 18:01:00 UTC; unix"
"mgcv","1.9-4","R 4.5.2; aarch64-unknown-linux-gnu; 'Fri, 28 Nov 2025 20:45:01 +0000'; unix"
"nlme","3.1-171","R 4.6.1; aarch64-unknown-linux-gnu; 'Thu, 03 Sep 2026 23:29:58 +0000'; unix"
"nnet","7.3-21","R 4.6.1; aarch64-unknown-linux-gnu; 'Tue, 04 Aug 2026 19:18:50 +0000'; unix"
"parallel","4.6.1","R 4.6.1; aarch64-unknown-linux-gnu; 2026-08-23 18:01:00 UTC; unix"
"rpart","4.1.27","R 4.5.3; aarch64-unknown-linux-gnu; 'Wed, 08 Apr 2026 01:01:46 +0000'; unix"
"spatial","7.3-17","R 4.4.0; aarch64-unknown-linux-gnu; 'Sat, 27 Apr 2024 18:04:14 +0000'; unix"
"splines","4.6.1","R 4.6.1; aarch64-unknown-linux-gnu; 2026-08-23 18:01:00 UTC; unix"
"stats","4.6.1","R 4.6.1; aarch64-unknown-linux-gnu; 2026-08-23 18:01:00 UTC; unix"
"stats4","4.6.1","R 4.6.1; ; 2026-08-23 18:01:00 UTC; unix"
"survival","3.8-12","R 4.6.1; aarch64-unknown-linux-gnu; 'Sat, 12 Sep 2026 12:38:28 +0000'; unix"
"tcltk","4.6.1","R 4.6.1; aarch64-unknown-linux-gnu; 2026-08-23 18:01:00 UTC; unix"
"tools","4.6.1","R 4.6.1; aarch64-unknown-linux-gnu; 2026-08-23 18:01:00 UTC; unix"
"utils","4.6.1","R 4.6.1; aarch64-unknown-linux-gnu; 2026-08-23 18:01:00 UTC; unix"
